Respuesta, Fecha, Tipo, resultado
"b'{""message_id"":1}'",2023-02-26 01:11:35.234286,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:36.576106,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:37.921933,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:39.284298,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:40.642683,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:11:42.002978,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:11:43.362094,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:44.708714,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:46.078986,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:47.461597,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:48.822431,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:50.186795,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:51.535207,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:52.892669,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:54.259699,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:55.624942,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:11:56.991892,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:11:58.345407,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:59.703027,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:01.070955,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:02.419683,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:03.775035,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:05.119487,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:06.471879,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:07.832361,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:09.183398,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:10.556865,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:11.929085,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:13.274894,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:14.638890,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:15.987808,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:17.345487,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:18.709115,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:20.078768,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:21.462471,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:22.815321,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:24.178970,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:25.537230,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:26.904127,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:28.248958,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:12:29.606322,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:12:30.969438,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:32.335006,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:33.670435,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:35.012660,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:36.362091,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:37.718783,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:12:39.082483,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:12:40.433691,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:41.769238,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:12:43.122002,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:12:44.491097,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:45.847485,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:12:47.196887,PEDIDOS,ERROR
b'Server Error',2023-02-26 01:12:48.543754,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:12:49.887234,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:51.228599,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:12:52.575400,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:12:53.906568,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:55.386714,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:56.740534,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:58.076069,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:12:59.437966,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:00.777898,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:02.138285,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:03.498942,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:04.840645,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:06.201084,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:07.553722,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:08.904449,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:10.246420,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:11.588639,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:12.942005,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:14.283570,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:13:15.710328,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:13:17.111081,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:13:18.462670,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:13:19.814907,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:21.152353,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:13:22.490511,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:13:23.829405,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:25.174743,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:26.513832,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:27.868044,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:29.223255,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:30.574758,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:13:31.920164,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:13:33.255508,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:34.608636,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:35.943789,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:13:37.272185,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:13:38.624178,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:13:39.978994,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:13:41.346433,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:42.702658,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:44.067515,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:45.437381,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:46.913405,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:48.287760,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:49.684095,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:51.046698,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:52.398613,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:13:53.761550,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:13:55.094713,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:13:56.478269,PEDIDOS,SUCCESS
